,Dates,006929.OF,004200.OF,050027.OF,002650.OF,100058.OF,100066.OF,006804.OF,004920.OF,000191.OF,002864.OF,270048.OF,006591.OF,006998.OF,040040.OF,040026.OF,000186.OF,000015.OF,004042.OF,004672.OF,006668.OF,006884.OF,004555.OF,004705.OF,003280.OF,003327.OF,006985.OF,110037.OF,000205.OF,000032.OF,007169.OF,005705.OF,217022.OF,161713.SZ,002920.OF,380005.OF
33,2019-8-30,1.0000978569331638,1.0000950669464983,0.9992807700859275,0.9999086861956293,1.0000935564335676,1.0,1.0,1.0,1.0,1.0,0.9991610756582593,1.000097808693412,1.0,0.9998134840042894,0.9990574952882015,0.9998082460901075,1.0,0.9997340588438408,0.9999071149916403,1.0,1.0000970308558121,0.9990403061696241,0.9991111111111112,0.9996379762874469,1.0003632033603647,0.9994104352952735,1.0,1.0,1.0,0.9996042338994243,0.9993369316550021,1.0,1.0,1.0,0.999069765008923
34,2019-8-31,1.0000978473581212,1.0001425868644493,0.9999100323608736,1.000091322143343,1.0003741814205631,1.0,1.0001471453796351,1.0000957399234227,1.000093677146565,1.0001409915690593,1.0,1.000097799127807,1.0000984158036126,1.0000466376976043,1.0004716969324807,1.0,1.0,1.0,1.0000928936367859,1.0000977329146925,1.0000485107208692,1.0004803078636813,1.000444839857651,1.0000452693526483,1.0000907721421142,0.9999016812506145,1.0,1.0004385985441029,1.0,1.0000494903491743,1.0000473934497391,1.0,1.0,1.000094103397018,1.0
35,2019-9-2,1.0000978377849525,1.0001425665363337,0.9999100242659692,1.0000913225668508,1.000374041461198,1.0,1.0001471237310577,1.0000957307581673,1.0000936683719792,1.0001409716932392,1.0,1.000097789564073,1.0001968122377909,1.0000466355226307,1.0004714745393866,1.0,1.0,1.0,1.0000928850083597,1.0000977233639032,1.0000485083676935,1.0004800772787894,1.0004446420631392,1.0000452673034266,1.0000907639032803,0.9999016715830875,1.0,1.0004384062597556,1.0,1.000049487900001,1.0000473912037062,1.0,1.0,1.000094094542402,1.0
36,2019-9-3,1.0000978282136568,1.0,1.0001799676607839,1.0000913054661211,0.9997195730202292,0.9999075490499253,1.0,1.0001914343634055,1.0,1.0,1.0,1.0000977800022093,1.0,1.0000932666957207,1.0,1.0000958953432533,1.0,1.0,1.0,1.0,0.9999029879705084,0.9990403061696241,0.9991111111111112,1.0000905305087815,0.9999092443340583,1.0000983380863409,1.0,1.0,1.0,1.00009897090214,0.9999052220842268,1.0,1.0,1.0000940767416928,1.0
37,2019-9-4,1.000195637288467,1.0,1.0007197475780611,1.000091297130194,1.0,1.0001849262947522,1.0001961361184661,1.0001914065475423,1.000187319198074,1.0001879298447929,1.0008396287267176,1.0000977704422152,1.0,1.0001865159957106,1.0,1.0,1.0,1.0002660118996713,1.0000928763815362,0.9999022861850194,0.9997089356747841,1.0009606157273627,1.0,1.0003620892550014,1.0003630385377933,1.0003933136676502,1.0,0.9991235717121366,1.0,1.0002968833236092,1.0005687213968677,1.0,1.0,1.0,1.0
38,2019-9-5,1.0002933985330074,1.0002850924280278,1.0013485633568364,1.0003651639432367,1.0005610112822412,1.0005546836073378,1.0,1.000478429206492,1.0005618452931462,1.0000939561440878,1.0008389243417408,1.0000977608840904,1.000196773510356,1.0006526768529953,1.0,1.0004794307410907,1.0016142064651172,1.0007091561608552,1.00018573551263,1.0002931603583072,1.000582298136646,1.0,1.0008896797153024,1.0005429372907428,1.0034476571649387,1.0011794770984863,1.0008984763475905,1.0008771970882056,1.000887306865426,1.0002997572381056,1.0007578641822477,1.0006963777194717,1.0009765628274445,1.0000940768390096,1.0009311011339321
39,2019-9-6,1.0005866249511148,1.0000985275755105,1.000179563710378,1.0001825109451616,1.0004672452050567,1.0002771880520003,1.0000980488283164,1.0001912784049114,1.000280771951518,1.0,1.0,1.0000977513278342,1.000196734798159,1.0001863595813962,1.0009425111571126,1.0001916803989606,1.0,1.000088578448795,1.0,1.0001953894473663,1.0002909796314259,1.0,1.0,0.999909559555033,1.0004520791392035,1.000294521892794,1.0,1.0008764213391974,1.0,1.0002996674106301,1.0003786451295422,1.0,1.0,1.0000940590433143,1.0009302277860967
40,2019-9-9,1.0004885675200312,1.0004926068737878,1.0001795314730406,1.000273725216777,1.000840652296824,1.0000923655525253,1.0002941176470588,1.0004781001528789,1.0002806860913538,1.000281815322422,1.0008382280234724,1.0002932253203378,1.0001966961011912,1.0002794872869605,1.0,1.0003832873292529,1.0,1.0002657204840826,1.0002785515320334,1.000390702555576,1.0004848249781828,1.000959685000815,1.0,1.0006331403762665,0.9999096216282389,1.0001962901167927,1.000897662837378,1.0,1.000886527464031,1.0001997282921613,0.9999053745470813,1.0006958986680736,1.0009756100829035,1.0003762276238757,1.0
41,2019-9-10,1.0001953315753491,1.000393894969635,1.0,1.0,1.0000933232286604,1.0,1.0000980103891013,1.0000955708114985,1.0000935334271182,1.0000939208488258,1.0,1.0000983720358303,1.0000984564731628,1.0000931363985475,1.0,1.0000957851190906,1.0,0.9999114529254235,1.0000928246542282,1.000195274983353,1.0000969180073658,1.0,1.0008888888888887,1.0001807827894784,0.9995480843005874,1.0,1.0,1.0,1.0,1.0000998392715978,0.9997160967767729,1.0006954091806886,1.0,1.0,1.0
42,2019-9-11,1.0001952934283762,1.0002953005295232,1.000089749623638,0.9999079458697206,1.0001866352292825,1.0,1.0000980007840063,1.0,1.0000935317262003,1.00018780631102,1.0,1.0001967150304856,1.0001968837338906,1.0000931277249665,1.0,1.0000957759451805,1.0,1.0,1.0,1.0000976184292394,1.0000969086151759,1.0,1.0,1.0000903750564845,0.9998191536933833,1.0,1.0,1.0,1.0,1.0002994879141385,1.0000946612823856,1.0,1.0,1.0001880385940072,1.0
43,2019-9-12,1.0,1.0,0.9993718025656326,1.0,1.0,0.9996305573311753,1.0000979911807937,0.9998088678312286,0.9997194451557099,1.0,0.999162474014279,1.0000983430141757,1.0000984274016855,0.9999068809469991,1.0,0.9997126996809184,1.0,0.9999114364116428,1.0001856320772229,1.0,0.9999031007751938,1.0,1.0,1.0001807337791433,0.998281628060894,0.9998037484054558,0.9991031422385049,1.0,1.0,1.000299398247982,0.9992427814201972,1.0,1.0,1.0000940060911656,0.9990706367334372
44,2019-9-16,1.0003905105925999,1.0005904354603126,1.0004489963539929,1.000184125210045,1.0003732069937783,1.0004619776555768,1.0003919263178522,1.0004779261747894,1.0003741757538382,1.0003755509642165,1.0008382280234724,1.0002949806591233,1.0003936610346547,1.000372503512881,1.0,1.0004789714737934,1.0,1.0002657056244133,1.0002783964365258,1.0003904356032471,1.0001938172303517,1.0009587737096275,1.0,1.0005421033610409,1.0,1.0003925802335853,1.000897662837378,1.0,1.0,1.0004988575844853,1.0,1.0,1.0,1.000375971140706,1.0
45,2019-9-17,0.999804820923197,1.0001966956839974,1.0,1.0000920456570965,0.9999067315130992,1.0,1.000097943192948,1.0000955342886568,1.000093514233764,1.0,1.0,0.9999017053373519,1.000098378986712,1.0,1.0,0.9998085031320199,1.0,1.0,1.0000927729845068,1.0,1.0001937796725124,1.0,1.0,1.0000911323821566,0.9996376192592658,1.000196213087413,1.0,1.0,1.0,1.000299159397566,0.9999052759507145,1.0,1.0,1.0,1.0
46,2019-9-18,0.9996095656417765,0.9998033429975862,0.9992819321151886,0.9999079628145267,0.9999067289991771,0.99944587988711,1.0,0.9998089408663217,0.9997194905757802,1.0000938591456758,1.0,1.0000983043254386,1.000098369309239,0.9999069143367554,1.0,0.999616932907891,1.0,0.9999114520951152,1.0,1.0,0.9997093868061611,1.0,1.0,1.000091124077802,1.0007250327415647,0.99960765080922,0.9991031422385049,1.0,1.0,0.9999003100240044,0.9995263348860954,1.0,1.0,1.000093961927878,1.0
47,2019-9-19,0.9991211795723075,1.0013768697879821,1.000269466533332,1.0000920456570965,1.000186565588705,1.000184806679427,1.0000979336010187,1.0001910956442466,1.0001870564056348,1.0000938414697738,1.0,1.0000982946626482,1.0000983498153793,1.0,1.0,1.0,1.0,1.0000885557463106,1.0,1.0,1.0000968992248063,1.0,1.0,1.0,1.0004528160913253,1.0000981257972723,1.0,1.0,1.0,1.0000996999150777,1.0001895558315463,1.0,1.0,1.0000939441647136,1.0
48,2019-9-20,0.9989249413604377,0.9998035747679701,1.0001796024133123,1.0,0.9998134692115214,0.9999076173801842,1.0000979240109675,0.9999044748372717,1.0,1.0,1.0,1.0000982946840546,0.9999016598563558,1.0,1.0,0.9998083930556306,1.0,1.0,1.0,0.9999024291943046,0.9996124406549753,1.0,1.0,1.000091115774961,0.9999094743655561,1.0,1.0,1.0,0.9991142577707811,0.9999003100240044,1.0001895199069428,1.0,1.0,1.000093944274347,1.0
49,2019-9-23,1.0000978377849525,1.0002947001032754,1.000089781855189,1.000184083122224,1.000093279701114,1.0001847896035767,1.000195828845589,1.0004776890614102,1.0002805356558437,1.000187665328757,1.0,1.0001965603649727,1.000196709449049,1.0002792977568202,1.0,1.0002874654969396,1.0008058062506668,1.0001770784678377,1.0000927643784787,1.000195160653373,0.9998061451972473,1.0,1.0,1.0004555373681654,1.0005431859484137,1.0000981161695448,1.0,1.0,1.0,1.0001993998301555,1.000378967991907,1.0,1.0,1.0002817974154772,1.0
