,Dates,006929.OF,004200.OF,050027.OF,002650.OF,100058.OF,100066.OF,006804.OF,004920.OF,000191.OF,002864.OF,270048.OF,006591.OF,006998.OF,040040.OF,040026.OF,000186.OF,000015.OF,004042.OF,004672.OF,006668.OF,006884.OF,004555.OF,004705.OF,003280.OF,003327.OF,006985.OF,110037.OF,000205.OF,000032.OF,007169.OF,005705.OF,217022.OF,161713.SZ,002920.OF,380005.OF
20,2019-8-12,1.0055232271427164,1.0094203575456187,1.0100255205666946,1.005798437181556,1.0057579745383236,1.0074675686313102,1.002560567264132,1.0062783731559597,1.0065192725261272,1.0028261937402714,1.0067681955890242,1.003539122894159,1.004056998031327,1.0054480282080485,1.0066476761760172,1.0071559782676585,1.0089649595086256,1.0061656627387165,1.0035480859010266,1.0056113390863126,1.0095256800549937,1.0067763771493203,1.0062667860340202,1.0047445255474456,1.0094729993106557,1.0047454275827978,1.008166967982491,1.0061892139844957,1.0079299415555056,1.0039777227518145,1.005144326737956,1.007032348820286,1.005905513776049,1.002834195799031,1.0075046882640457
21,2019-8-13,1.0059177433671962,1.010669999708018,1.0113014965069385,1.005890473764159,1.0062299389460487,1.0083076638393988,1.0024620839078193,1.0066647359511054,1.007086167955821,1.0028261937402714,1.0067681955890242,1.0037357402911136,1.004155949444047,1.0059177346324795,1.0066476761760172,1.0076394888756897,1.0097799523798652,1.0073273189801946,1.0041083099906625,1.0059066737545679,1.0103113031523128,1.0077444323001503,1.0062667860340202,1.0050182481751828,1.0117722792195427,1.0053386060306475,1.0090744127866966,1.0070733844065216,1.0088258819513516,1.004574382653259,1.0056206541596535,1.007032348820286,1.006889766072057,1.0029286725863136,1.0084427770217304
22,2019-8-14,1.0059177433671962,1.010669999708018,1.0123951854919255,1.0062586289264086,1.0063243343316162,1.0084943582128918,1.0025605672641322,1.0068579173486782,1.007369612111332,1.0029205839130912,1.0067681955890242,1.003834048989591,1.0043538522694873,1.006105617202252,1.0066476761760172,1.0079295952405083,1.010594952836103,1.0073273189801946,1.0042016806722684,1.0059066737545679,1.0110969262496319,1.0077444323001503,1.0071620411817372,1.0052007299270078,1.012783953381872,1.0055363321799309,1.0090744127866966,1.0070733844065216,1.0088258819513516,1.004574382653259,1.005906450612672,1.0077355881916257,1.006889766072057,1.0029286725863136,1.0084427770217304
23,2019-8-15,1.0063122595916758,1.011054498848374,1.013124320214331,1.0064427109234526,1.0065131188426948,1.0087743924049737,1.002659050620445,1.0071476849920062,1.0077475423977946,1.0030149651677167,1.0076142174314289,1.0039323576880683,1.0045517452047314,1.0062934997720245,1.0075973414178991,1.0085098150597442,1.010594952836103,1.0075060272474017,1.0045751633986924,1.0063004533122415,1.0119807522341158,1.0077444323001503,1.0071620411817372,1.0055656934306576,1.0129679020036777,1.0055363321799309,1.0099818505398301,1.007957554828548,1.0097218223471975,1.0046738259701664,1.005906450612672,1.0084388219513265,1.006889766072057,1.0030231403886427,1.0084427770217304
24,2019-8-16,1.0065095177039158,1.0113428798557218,1.013124320214331,1.0070869758335115,1.0067962987393408,1.0093344534209803,1.0027575339767576,1.0074374615413966,1.007842021410074,1.0032037276769674,1.0076142174314289,1.0040306663865455,1.0047496480301716,1.0062934997720245,1.0075973414178991,1.0085098150597442,1.010594952836103,1.0075060272474017,1.0046685340802983,1.0063988982016598,1.0119807522341158,1.0077444323001503,1.0071620411817372,1.0058394160583948,1.0130598676630602,1.0055363321799309,1.0099818505398301,1.0088417322606784,1.0097218223471975,1.0046738259701664,1.0060017160970116,1.0084388219513265,1.006889766072057,1.003117617175925,1.0084427770217304
25,2019-8-19,1.0068054048722757,1.0114390068581711,1.0133977408232504,1.0073630944131584,1.0074570476581448,1.0095211477944732,1.0030529840456959,1.0079204105822972,1.0081254726842568,1.0033924991044127,1.0084602392738333,1.0043256022309557,1.0048485994428915,1.0065753161751654,1.0075973414178991,1.0087032193029568,1.010594952836103,1.0079528154169635,1.0048552754435103,1.0065957879804968,1.011882549346951,1.00871248745098,1.0071620411817372,1.0062043795620443,1.0135197219145335,1.006030647553139,1.0099818505398301,1.0088417322606784,1.0097218223471975,1.004574382653259,1.0063827780343697,1.0084388219513265,1.0078740131689363,1.003401038552819,1.0093808585136046
26,2019-8-20,1.0071012920406355,1.0116312608630698,1.0133977408232504,1.0075471675783645,1.007740227554791,1.0095211477944732,1.0030529840456959,1.0082101782256252,1.0083144307088163,1.003486880359038,1.0084602392738333,1.004423910929433,1.0049475508556118,1.0067631987449377,1.0075973414178991,1.0088966235461694,1.010594952836103,1.00786346128336,1.0048552754435103,1.006694232869915,1.0127663753314349,1.00871248745098,1.0071620411817372,1.0065693430656941,1.0130598676630602,1.0059317844784974,1.0108892953440358,1.0088417322606784,1.0097218223471975,1.004574382653259,1.0063827780343697,1.0091420557110273,1.0078740131689363,1.0034955063551476,1.0093808585136046
27,2019-8-21,1.0071999210967557,1.0116312608630698,1.0129420332590746,1.0077312495754085,1.008212191962516,1.0095211477944732,1.0032499507583215,1.0082101782256252,1.0083144307088163,1.0035812616136635,1.0076142174314289,1.0045222196279102,1.0051454536810518,1.0066692574600515,1.0075973414178991,1.0088966235461694,1.010594952836103,1.0076847442653807,1.004948646125116,1.0067926777593335,1.0126681724442697,1.0077444323001503,1.0062667860340202,1.006751824817519,1.0122321334710163,1.0055363321799307,1.0099818505398301,1.007957554828548,1.0097218223471975,1.004375496019444,1.0058111851283327,1.0091420557110273,1.0078740131689363,1.00358998314243,1.0084427770217304
28,2019-8-22,1.0072985501528757,1.0115351338606207,1.0128508930561015,1.0077312495754085,1.008212191962516,1.0095211477944732,1.0033484341146341,1.008403359623198,1.0083144307088163,1.0036756517864835,1.0076142174314289,1.0046205283263876,1.0049475508556118,1.0068571400298238,1.0075973414178991,1.0087032193029568,1.010594952836103,1.0077740983989842,1.004948646125116,1.0067926777593335,1.0124717666699399,1.0077444323001503,1.0062667860340202,1.0071167883211685,1.013151841973963,1.0055363321799307,1.0099818505398301,1.007957554828548,1.0097218223471975,1.0044749393363515,1.0060969815813512,1.0091420557110273,1.0078740131689363,1.00358998314243,1.0084427770217304
29,2019-8-23,1.0071999210967557,1.010958371845925,1.0127597528531285,1.0077312495754085,1.0083065873480834,1.0095211477944732,1.0033484341146341,1.008306773377443,1.0083144307088163,1.0036756517864835,1.0076142174314289,1.0046205283263876,1.0050465022683317,1.0068571400298238,1.0066476761760172,1.0087032193029568,1.010594952836103,1.0076847442653807,1.00485527544351,1.006694232869915,1.01227536089561,1.0077444323001503,1.0062667860340202,1.007208029197081,1.0129679020036777,1.0055363321799307,1.0099818505398301,1.007957554828548,1.0097218223471975,1.0045743826532587,1.005906450612672,1.0091420557110273,1.0078740131689363,1.00358998314243,1.0084427770217304
